ㄅㄚ	ba
ㄍㄠˋ	gao4
ㄍㄡ	gou
ㄍㄡˇ	gou3
ㄍㄡˋ	gou4
ㄍㄢ	gan
ㄍㄢˇ	gan3
ㄍㄢˋ	gan4
ㄍㄣ	gen
ㄍㄣˊ	gen2
ㄍㄣˇ	gen3
ㄍㄣˋ	gen4
ㄍㄤ	gang
ㄍㄤˇ	gang3
ㄍㄤˋ	gang4
ㄍㄥ	geng
ㄍㄥˇ	geng3
ㄍㄥˋ	geng4
ㄍㄨ	gu
ㄍㄨˊ	gu2
ㄍㄨˇ	gu3
ㄍㄨˋ	gu4
ㄍㄨㄚ	gua
ㄍㄨㄚˊ	gua2
ㄍㄨㄚˇ	gua3
ㄍㄨㄚˋ	gua4
ㄍㄨㄛ	guo
ㄍㄨㄛˊ	guo2
ㄍㄨㄛˇ	guo3
ㄍㄨㄛˋ	guo4
ㄍㄨㄜˊ	gue2
ㄍㄨㄞ	guai
ㄍㄨㄞˇ	guai3
ㄍㄨㄞˋ	guai4
ㄍㄨㄟ	gui
ㄍㄨㄟˇ	gui3
ㄍㄨㄟˋ	gui4
ㄍㄨㄢ	guan
ㄍㄨㄢˇ	guan3
ㄍㄨㄢˋ	guan4
ㄍㄨㄣ	gun
ㄍㄨㄣˇ	gun3
ㄍㄨㄣˋ	gun4
ㄍㄨㄤ	guang
ㄍㄨㄤˇ	guang3
ㄍㄨㄤˋ	guang4
ㄍㄨㄥ	gong
ㄍㄨㄥˊ	gong2
ㄍㄨㄥˇ	gong3
ㄍㄨㄥˋ	gong4
ㄎㄚ	ka
ㄎㄚˇ	ka3
ㄎㄚˋ	ka4
ㄎㄜ	ke
ㄎㄜˊ	ke2
ㄎㄜˇ	ke3
ㄎㄜˋ	ke4
ㄎㄞ	kai
ㄎㄞˇ	kai3
ㄎㄞˋ	kai4
ㄎㄠ	kao
ㄎㄠˇ	kao3
ㄎㄠˋ	kao4
ㄎㄡ	kou
ㄎㄡˇ	kou3
ㄎㄡˋ	kou4
ㄎㄢ	kan
ㄎㄢˇ	kan3
ㄎㄢˋ	kan4
ㄎㄣ	ken
ㄎㄣˇ	ken3
ㄎㄣˋ	ken4
ㄎㄤ	kang
ㄎㄤˊ	kang2
ㄎㄤˇ	kang3
ㄎㄤˋ	kang4
ㄎㄥ	keng
ㄎㄥˇ	keng3
ㄎㄨ	ku
ㄎㄨˊ	ku2
ㄎㄨˇ	ku3
ㄎㄨˋ	ku4
ㄎㄨㄚ	kua
ㄎㄨㄚˇ	kua3
ㄎㄨㄚˋ	kua4
ㄎㄨㄛˋ	kuo4
ㄎㄨㄞ	kuai
ㄎㄨㄞˇ	kuai3
ㄎㄨㄞˋ	kuai4
ㄎㄨㄟ	kui
ㄎㄨㄟˊ	kui2
ㄎㄨㄟˇ	kui3
ㄎㄨㄟˋ	kui4
ㄎㄨㄢ	kuan
ㄎㄨㄢˇ	kuan3
ㄎㄨㄢˋ	kuan4
ㄎㄨㄣ	kun
ㄎㄨㄣˇ	kun3
ㄎㄨㄣˋ	kun4
ㄎㄨㄤ	kuang
ㄎㄨㄤˊ	kuang2
ㄎㄨㄤˇ	kuang3
ㄎㄨㄤˋ	kuang4
ㄎㄨㄥ	kong
ㄎㄨㄥˇ	kong3
ㄎㄨㄥˋ	kong4
ㄏㄚ	ha
ㄏㄚˊ	ha2
ㄏㄚˇ	ha3
ㄏㄜ	he
ㄏㄜˊ	he2
ㄏㄜˇ	he3
ㄏㄜˋ	he4
ㄏㄞ	hai
ㄏㄞˊ	hai2
ㄏㄞˇ	hai3
ㄏㄞˋ	hai4
ㄏㄟ	hei
ㄏㄟˇ	hei3
ㄏㄠ	hao
ㄏㄠˊ	hao2
ㄏㄠˇ	hao3
ㄏㄠˋ	hao4
ㄏㄡ	hou
ㄏㄡˊ	hou2
ㄏㄡˇ	hou3
ㄏㄡˋ	hou4
ㄏㄢ	han
ㄏㄢˊ	han2
ㄏㄢˇ	han3
ㄏㄢˋ	han4
ㄏㄣ	hen
ㄏㄣˊ	hen2
ㄏㄣˇ	hen3
ㄏㄣˋ	hen4
ㄏㄤ	hang
ㄏㄤˊ	hang2
ㄏㄤˇ	hang3
ㄏㄤˋ	hang4
ㄏㄥ	heng
ㄏㄥˊ	heng2
ㄏㄥˋ	heng4
ㄏㄨ	hu
ㄏㄨˊ	hu2
ㄏㄨˇ	hu3
ㄏㄨˋ	hu4
ㄏㄨㄚ	hua
ㄏㄨㄚˊ	hua2
ㄏㄨㄚˇ	hua3
ㄏㄨㄚˋ	hua4
ㄏㄨㄛ	huo
ㄏㄨㄛˊ	huo2
ㄏㄨㄛˇ	huo3
ㄏㄨㄛˋ	huo4
˙ㄏㄨㄛ	huo5
ㄏㄨㄞˊ	huai2
ㄏㄨㄞˋ	huai4
ㄏㄨㄟ	hui
ㄏㄨㄟˊ	hui2
ㄏㄨㄟˇ	hui3
ㄏㄨㄟˋ	hui4
ㄏㄨㄢ	huan
ㄏㄨㄢˊ	huan2
ㄏㄨㄢˇ	huan3
ㄏㄨㄢˋ	huan4
ㄏㄨㄣ	hun
ㄏㄨㄣˊ	hun2
ㄏㄨㄣˇ	hun3
ㄏㄨㄣˋ	hun4
ㄏㄨㄤ	huang
ㄏㄨㄤˊ	huang2
ㄏㄨㄤˇ	huang3
ㄏㄨㄤˋ	huang4
˙ㄏㄨㄤ	huang5
ㄏㄨㄥ	hong
ㄏㄨㄥˊ	hong2
ㄏㄨㄥˇ	hong3
ㄏㄨㄥˋ	hong4
ㄐㄧ	ji
ㄐㄧˊ	ji2
ㄐㄧˇ	ji3
ㄐㄧˋ	ji4
ㄐㄧㄚ	jia
ㄐㄧㄚˊ	jia2
ㄐㄧㄚˇ	jia3
ㄐㄧㄚˋ	jia4
ㄐㄧㄝ	jie
ㄐㄧㄝˊ	jie2
ㄐㄧㄝˇ	jie3
ㄐㄧㄝˋ	jie4
˙ㄐㄧㄝ	jie5
ㄐㄧㄠ	jiao
ㄐㄧㄠˊ	jiao2
ㄐㄧㄠˇ	jiao3
ㄐㄧㄠˋ	jiao4
ㄐㄧㄡ	jiu
ㄐㄧㄡˇ	jiu3
ㄐㄧㄡˋ	jiu4
ㄐㄧㄢ	jian
ㄐㄧㄢˇ	jian3
ㄐㄧㄢˋ	jian4
ㄐㄧㄣ	jin
ㄐㄧㄣˇ	jin3
ㄐㄧㄣˋ	jin4
ㄐㄧㄤ	jiang
ㄐㄧㄤˊ	jiang2
ㄐㄧㄤˇ	jiang3
ㄐㄧㄤˋ	jiang4
ㄐㄧㄥ	jing
ㄐㄧㄥˇ	jing3
ㄐㄧㄥˋ	jing4
ㄐㄩ	ju
ㄐㄩˊ	ju2
ㄐㄩˇ	ju3
ㄐㄩˋ	ju4
ㄐㄩㄝ	jue
ㄐㄩㄝˊ	jue2
ㄐㄩㄝˇ	jue3
ㄐㄩㄝˋ	jue4
ㄐㄩㄢ	juan
ㄐㄩㄢˇ	juan3
ㄐㄩㄢˋ	juan4
ㄐㄩㄣ	jun
ㄐㄩㄣˊ	jun2
ㄐㄩㄣˇ	jun3
ㄐㄩㄣˋ	jun4
ㄐㄩㄥ	jiong
ㄐㄩㄥˇ	jiong3
ㄐㄩㄥˋ	jiong4
˙ㄑ	q5
ㄑㄧ	qi
ㄑㄧˊ	qi2
ㄑㄧˇ	qi3
ㄑㄧˋ	qi4
ㄑㄧㄚ	qia
ㄑㄧㄚˊ	qia2
ㄑㄧㄚˇ	qia3
ㄑㄧㄚˋ	qia4
ㄑㄧㄝ	qie
ㄑㄧㄝˊ	qie2
ㄑㄧㄝˇ	qie3
ㄑㄧㄝˋ	qie4
ㄑㄧㄠ	qiao
ㄑㄧㄠˊ	qiao2
ㄑㄧㄠˇ	qiao3
ㄑㄧㄠˋ	qiao4
ㄑㄧㄡ	qiu
ㄑㄧㄡˊ	qiu2
ㄑㄧㄡˇ	qiu3
ㄑㄧㄡˋ	qiu4
